file name,lambda,acc,dp,di,eo
cb49295113baf72e0b9631e41246f9cd.txt,1.0,0.8514,0.0456,0.7597,0.2933
176ade1cafaceae4e1257a04337be988.txt,0.9,0.854,0.0486,0.7502,0.2857
bf6ab6dd99c42d65eaaa564d40ec7b54.txt,0.8,0.8501,0.0389,0.8078,0.3184
50a8f5a6ba6c2f8c8bf2c59c1ea96af6.txt,0.7,0.8516,0.0362,0.8109,0.3246
509f0ec8f7998668ad6e3f3f2f49897b.txt,0.6,0.8516,0.0383,0.8071,0.3264
ec7050a3a5fc2e52715ee6a8527bc736.txt,0.5,0.8521,0.0427,0.7828,0.3078
7557d9320acfe6d069511cdee559182e.txt,0.4,0.8527,0.0495,0.7623,0.3015
3388d05f06285b572c191e5fe7bb9253.txt,0.3,0.8583,0.0776,0.6471,0.2306
9ab5da7c68353349bbaf92ce82006680.txt,0.2,0.8623,0.1188,0.5043,0.1511
8c49829a4cf3e1aec602064108bed568.txt,0.1,0.8673,0.1524,0.4096,0.1052
